City,Province,Year,Rent
Moncton, New Brunswick,1987,411
Moncton, New Brunswick,1988,426
Moncton, New Brunswick,1989,434
Moncton, New Brunswick,1990,457
Moncton, New Brunswick,1991,465
Moncton, New Brunswick,1992,477
Moncton, New Brunswick,1993,490
Moncton, New Brunswick,1994,503
Moncton, New Brunswick,1995,513
Moncton, New Brunswick,1996,522
Moncton, New Brunswick,1997,532
Moncton, New Brunswick,1998,539
Moncton, New Brunswick,1999,548
Moncton, New Brunswick,2000,574
Moncton, New Brunswick,2001,572
Moncton, New Brunswick,2002,588
Moncton, New Brunswick,2003,597
Moncton, New Brunswick,2004,619
Moncton, New Brunswick,2005,620
Moncton, New Brunswick,2006,644
Moncton, New Brunswick,2007,652
Moncton, New Brunswick,2008,665
Moncton, New Brunswick,2009,685
Moncton, New Brunswick,2010,701
Moncton, New Brunswick,2011,727
Moncton, New Brunswick,2012,738
Moncton, New Brunswick,2013,749
Moncton, New Brunswick,2014,772
Moncton, New Brunswick,2015,768
Moncton, New Brunswick,2016,809
Moncton, New Brunswick,2017,815
Moncton, New Brunswick,2018,842
Moncton, New Brunswick,2019,884
Moncton, New Brunswick,2020,966
