City,Province,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020
St. John's, Newfoundland and Labrador,518,543,554,552,578,592,599,603,598,592,566,551,539,587,584,602,632,628,646,646,640,672,707,762,807,844,869,948,929,913,888,917,921,956
Charlottetown, Prince Edward Island,517,545,563,577,583,627,595,606,631,634,640,664,690,713,675,670,737,745,804,739,770,811,810,827,913,964,974,948,962,974,1012,1033,1071,1135
Cape Breton, Nova Scotia,519,554,581,558,581,641,611,581,629,660,622,704,689,689,685,697,709,745,735,746,765,840,871,953,998,980,1040,1056,1038,1109,1178,1093,1099,1223
Halifax, Nova Scotia,643,648,676,713,740,734,764,756,813,772,766,768,800,812,863,916,960,980,941,1012,1036,1038,1080,1124,1152,1177,1217,1238,1276,1279,1298,1346,1387,1475
Campbellton, New Brunswick part,F,F,418,437,464,444,466,453,441,465,476,488,512,515,543,552,517,579,523,538,551,563,680,567,679,695,693,834,646,734,751,922,947,1043
Fredericton, New Brunswick,536,551,639,689,630,641,668,674,732,680,754,741,669,746,758,766,784,867,886,908,926,956,966,999,1011,1057,1030,1088,1096,1117,1108,1155,1236,1255
Moncton, New Brunswick,466,478,476,516,536,559,554,530,566,562,597,606,636,611,641,673,675,709,716,728,742,795,810,840,860,998,973,987,980,1010,984,1009,1000,1112
Drummondville, Quebec,354,365,376,394,395,404,417,413,418,421,426,431,430,465,450,464,495,505,517,533,547,565,571,602,625,589,602,605,627,624,641,642,706,749
Ottawa-Gatineau, Quebec part,624,658,666,699,741,768,791,783,784,796,788,794,823,886,915,960,991,959,977,991,982,1028,1070,1074,1119,1129,1142,1143,1156,1183,1249,1253,1342,1446
Joliette, Quebec,353,370,385,388,416,422,437,431,439,439,445,426,453,460,469,470,480,515,553,565,565,572,590,623,622,621,641,627,652,653,666,676,721,725
Montréal, Quebec,457,489,546,565,572,598,590,601,618,601,622,622,638,654,683,722,748,760,768,797,820,803,821,865,883,883,875,896,940,953,952,989,1072,1112
Québec, Quebec,497,512,541,554,577,599,597,593,601,595,603,612,614,614,644,664,689,735,746,764,774,784,814,830,859,880,898,905,945,968,994,1012,1027,1093
Rimouski, Quebec,400,419,450,501,475,489,490,513,528,530,523,539,528,526,537,547,542,548,577,589,590,620,645,668,681,706,707,700,719,749,772,736,757,757
Saint-Hyacinthe, Quebec,385,396,416,432,450,452,461,460,463,471,471,471,467,479,488,500,514,555,554,580,595,625,623,644,655,644,647,673,701,711,743,753,803,951
Saint-Jean-sur-Richelieu, Quebec,371,396,418,418,447,468,462,468,454,480,463,463,472,478,488,481,517,526,550,567,602,630,628,649,713,675,709,684,705,705,F,F,F,0
Saguenay, Quebec,423,418,443,442,450,471,476,478,480,478,478,476,473,488,500,495,507,512,514,523,547,562,578,593,617,602,638,630,634,644,665,646,707,709
Shawinigan, Quebec,285,292,294,305,321,323,337,335,347,350,354,362,363,370,372,373,378,383,394,405,405,423,442,464,503,470,465,483,487,495,482,497,519,522
Sherbrooke, Quebec,414,438,439,469,469,487,499,500,508,519,517,556,527,531,537,541,568,586,598,614,639,649,674,682,690,695,702,723,726,754,786,763,819,831
Trois-Rivières, Quebec,376,391,411,421,434,446,449,448,455,445,450,464,455,458,470,478,498,505,512,541,538,553,567,575,598,602,602,607,619,624,634,646,663,687
Barrie, Ontario,583,F,715,790,818,778,843,830,863,854,882,946,908,1004,1041,1129,1110,1117,1101,1099,1187,1156,1134,1175,1134,1257,1325,1339,1323,1429,1445,1510,1797,1662
Belleville, Ontario,535,586,625,683,712,761,749,704,732,724,736,753,779,798,807,830,874,895,924,912,954,972,949,942,993,1091,1143,1087,1177,1192,1415,1444,1480,1463
Brantford, Ontario,459,473,562,499,575,622,648,670,699,708,730,749,699,714,745,771,772,778,857,818,836,848,876,877,986,941,989,1006,987,1151,1216,1133,1210,1281
Brockville, Ontario,415,451,463,494,553,526,536,561,584,584,584,602,607,620,622,651,675,677,682,701,720,732,743,770,788,803,787,848,929,938,944,888,935,989
Cornwall, Ontario,487,F,541,554,588,631,626,656,667,634,664,644,636,684,684,698,722,702,720,719,729,712,785,772,797,819,845,860,851,866,939,945,1027,1069
Greater Sudbury, Ontario,466,495,525,574,595,679,701,683,722,731,705,708,698,709,713,744,754,761,780,810,860,929,916,934,1018,1078,1089,1113,1166,1179,1248,1193,1200,1300
Guelph, Ontario,512,527,578,619,660,681,692,695,694,704,709,749,789,830,914,926,929,928,1067,1166,1027,1035,1059,1037,1034,1075,1104,1151,1173,1176,1203,1255,1358,1359
Hamilton, Ontario,553,592,629,661,696,705,747,764,765,803,814,829,873,877,924,960,958,973,970,955,1012,985,1034,1102,1144,1107,1137,1180,1301,1234,1354,1383,1453,1515
Huntsville, Ontario,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F
Kingston, Ontario,566,585,627,688,763,778,829,796,823,808,798,805,869,890,892,848,923,946,991,1039,1089,1044,1113,1150,1186,1199,1345,1352,1429,1879,1832,2004,1822,1966
Kitchener-Cambridge-Waterloo, Ontario,530,574,635,671,662,750,691,733,764,745,742,778,780,824,923,894,939,975,1097,1201,942,981,991,1025,1021,1059,1134,1112,1164,1500,1310,1267,1311,1448
London, Ontario,625,610,622,678,714,774,785,787,798,801,825,814,815,836,870,905,939,953,949,993,1007,997,1087,1072,1066,1066,1113,1150,1105,1199,1269,1319,1412,1470
