City,Province,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020
St. John's, Newfoundland and Labrador,364,380,356,392,396,380,444,413,407,398,408,388,390,429,423,430,474,460,482,503,481,503,552,575,607,627,666,650,705,712,718,739,734,750
Charlottetown, Prince Edward Island,309,318,327,330,329,335,344,337,356,356,370,369,359,375,359,379,F,398,F,431,440,436,453,483,495,520,537,532,538,582,583,595,595,661
Cape Breton, Nova Scotia,242,258,275,265,289,334,F,F,F,353,F,349,310,340,F,F,F,F,F,466,455,472,483,476,508,524,541,556,551,574,566,579,560,635
Halifax, Nova Scotia,376,391,402,419,438,437,437,446,451,450,452,458,476,496,516,528,544,567,562,581,583,608,642,641,681,696,709,723,738,767,785,818,818,872
Campbellton, New Brunswick part,F,277,282,295,315,302,F,317,F,F,299,F,F,723,F,324,324,284,313,369,378,406,415,415,433,412,437,364,462,458,483,468,486,525
Fredericton, New Brunswick,355,352,370,400,411,417,426,436,441,467,448,442,468,477,483,483,496,497,519,518,571,532,558,558,568,595,604,627,608,634,651,655,704,695
Moncton, New Brunswick,284,298,301,302,309,322,332,332,342,343,351,351,348,351,350,448,374,480,393,407,409,428,441,457,482,489,540,547,532,586,594,613,629,689
Drummondville, Quebec,224,236,246,247,252,262,258,261,261,265,276,292,289,300,302,311,318,327,348,350,346,368,361,363,379,377,378,376,383,383,380,409,443,462
Ottawa-Gatineau, Quebec part,354,366,382,405,434,454,460,476,483,476,475,490,506,563,609,609,616,615,613,620,632,656,673,695,711,737,746,760,779,792,813,839,899,955
Joliette, Quebec,242,252,268,275,267,287,299,293,315,310,305,317,318,300,340,322,360,F,F,398,398,396,402,410,444,426,439,443,455,462,483,492,518,521
Montréal, Quebec,313,322,344,359,366,348,355,353,352,359,360,366,375,384,405,429,443,462,471,485,493,502,515,532,553,545,557,576,586,596,609,646,672,710
Québec, Quebec,308,315,352,368,393,359,360,351,359,359,357,358,375,385,390,402,419,432,444,464,464,463,485,505,531,521,527,540,557,563,556,576,607,617
Rimouski, Quebec,294,291,292,302,311,326,322,342,338,352,352,359,346,346,342,340,344,365,372,389,401,401,408,415,421,442,F,464,450,454,469,471,473,496
Saint-Hyacinthe, Quebec,226,254,255,268,276,273,277,293,295,293,298,305,307,306,323,339,F,F,F,378,397,392,410,406,427,421,447,438,454,447,469,493,492,542
