City,Province,Year,Rent
Moncton, New Brunswick,1987,284
Moncton, New Brunswick,1988,298
Moncton, New Brunswick,1989,301
Moncton, New Brunswick,1990,302
Moncton, New Brunswick,1991,309
Moncton, New Brunswick,1992,322
Moncton, New Brunswick,1993,332
Moncton, New Brunswick,1994,332
Moncton, New Brunswick,1995,342
Moncton, New Brunswick,1996,343
Moncton, New Brunswick,1997,351
Moncton, New Brunswick,1998,351
Moncton, New Brunswick,1999,348
Moncton, New Brunswick,2000,351
Moncton, New Brunswick,2001,350
Moncton, New Brunswick,2002,448
Moncton, New Brunswick,2003,374
Moncton, New Brunswick,2004,480
Moncton, New Brunswick,2005,393
Moncton, New Brunswick,2006,407
Moncton, New Brunswick,2007,409
Moncton, New Brunswick,2008,428
Moncton, New Brunswick,2009,441
Moncton, New Brunswick,2010,457
Moncton, New Brunswick,2011,482
Moncton, New Brunswick,2012,489
Moncton, New Brunswick,2013,540
Moncton, New Brunswick,2014,547
Moncton, New Brunswick,2015,532
Moncton, New Brunswick,2016,586
Moncton, New Brunswick,2017,594
Moncton, New Brunswick,2018,613
Moncton, New Brunswick,2019,629
Moncton, New Brunswick,2020,689
