City,Province,Year,Rent
Moncton, New Brunswick,1987,354
Moncton, New Brunswick,1988,369
Moncton, New Brunswick,1989,368
Moncton, New Brunswick,1990,389
Moncton, New Brunswick,1991,407
Moncton, New Brunswick,1992,419
Moncton, New Brunswick,1993,423
Moncton, New Brunswick,1994,427
Moncton, New Brunswick,1995,425
Moncton, New Brunswick,1996,432
Moncton, New Brunswick,1997,441
Moncton, New Brunswick,1998,443
Moncton, New Brunswick,1999,452
Moncton, New Brunswick,2000,459
Moncton, New Brunswick,2001,462
Moncton, New Brunswick,2002,482
Moncton, New Brunswick,2003,497
Moncton, New Brunswick,2004,515
Moncton, New Brunswick,2005,522
Moncton, New Brunswick,2006,556
Moncton, New Brunswick,2007,547
Moncton, New Brunswick,2008,553
Moncton, New Brunswick,2009,590
Moncton, New Brunswick,2010,589
Moncton, New Brunswick,2011,603
Moncton, New Brunswick,2012,634
Moncton, New Brunswick,2013,640
Moncton, New Brunswick,2014,658
Moncton, New Brunswick,2015,650
Moncton, New Brunswick,2016,692
Moncton, New Brunswick,2017,693
Moncton, New Brunswick,2018,720
Moncton, New Brunswick,2019,750
Moncton, New Brunswick,2020,790
